invoice_id,invoice_date,paid_date,paid_days,is_paid,amount,currency,supplier_id,supplier_name,global_ultimate_id,global_ultimate_name,category_code,category_name,segment_code,segment_name,plant_id,plant_name,region,country,source_system_id,payment_term_code,payment_term_name,nominal_days
INV-000001,2026-03-10,2026-03-24,14,true,163105.12,USD,SUP-00002,Falcon Systems Bengaluru Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-SHA,Shanghai Plant,APAC,China,SAP_ECC,NET15,Net 15,15
INV-000002,2025-11-18,2025-12-23,35,true,927354.77,USD,SUP-00195,Bluepeak Manufacturing Montreal Co.,GU-0047,Bluepeak Manufacturing International,84130000,Insurance,84000000,Financial and Insurance Services,PLT-DET,Detroit Plant,NAMER,United States,SAP_ECC,NET30,Net 30,30
INV-000003,2026-01-13,2026-01-23,10,true,162800.09,USD,SUP-00003,Falcon Systems Osaka Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-CHN,Chennai Plant,APAC,India,ARIBA,NET05,Net 5,5
INV-000004,2025-08-13,2025-12-12,121,true,764657.01,USD,SUP-00037,Sequoia Fasteners Turin S.A.,GU-0008,Sequoia Fasteners Holdings,43230000,Software licenses,43000000,Information Technology Broadcasting and Telecommunications,PLT-LYO,Lyon Plant,EMEA,France,SAP_S4HANA,NET120,Net 120,120
INV-000005,2026-05-03,2026-06-15,43,true,121375.33,USD,SUP-00017,Orion Supply Co Chennai Co. Ltd.,GU-0003,Orion Supply Co International,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,ARIBA,D15N10N30,1.5% 10 Net 30,30
INV-000006,2025-09-05,2025-09-19,14,true,6588269.47,USD,SUP-00168,Highpoint Bearing Works Osaka Pte. Ltd.,GU-0041,Highpoint Bearing Works Holdings,39130000,Electrical hardware,39000000,Electrical Systems and Lighting and Components,PLT-STU,Stuttgart Plant,EMEA,Germany,SAP_S4HANA,NET30,Net 30,30
INV-000007,2025-12-06,2026-01-05,30,true,163707.98,USD,SUP-00070,Redwood Controls Singapore Pte. Ltd.,GU-0017,Redwood Controls Inc.,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-PUN,Pune Plant,APAC,India,SAP_S4HANA,NET30,Net 30,30
INV-000008,2025-09-17,2025-10-04,17,true,2441859.13,USD,SUP-00001,Falcon Systems Osaka Pvt. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-CHN,Chennai Plant,APAC,India,SAP_S4HANA,NET15,Net 15,15
INV-000009,2025-10-31,2026-01-03,64,true,31496.3,USD,SUP-00018,Orion Supply Co Shanghai Pte. Ltd.,GU-0003,Orion Supply Co International,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-SHA,Shanghai Plant,APAC,China,FIELDGLASS,NET45,Net 45,45
INV-000010,2026-05-06,2026-06-01,26,true,142956.54,USD,SUP-00191,Ridgeway Electricals Pune Pte. Ltd.,GU-0046,Ridgeway Electricals Industries,76120000,Waste management,76000000,Industrial Cleaning Services,PLT-PUN,Pune Plant,APAC,India,SAP_ECC,NET15,Net 15,15
INV-000011,2026-02-09,2026-03-26,45,true,712290.02,USD,SUP-00005,Falcon Systems Singapore Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-CHN,Chennai Plant,APAC,India,SAP_S4HANA,NET45,Net 45,45
INV-000012,2026-06-22,,,false,2244899.64,USD,SUP-00003,Falcon Systems Osaka Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-SHA,Shanghai Plant,APAC,China,SAP_ECC,NET45,Net 45,45
INV-000013,2025-11-25,2025-11-26,1,true,353617.8,USD,SUP-00123,Monarch Energy Bengaluru Ltd.,GU-0030,Monarch Energy International,25170000,Vehicle components and accessories,25000000,Commercial and Private Vehicles and Components,PLT-PUN,Pune Plant,APAC,India,SAP_ECC,NET15,Net 15,15
INV-000014,2025-09-12,2025-09-20,8,true,244980.92,USD,SUP-00029,Vantage Technologies Rotterdam Ltd.,GU-0007,Vantage Technologies Inc.,72100000,Facility maintenance,72000000,Building and Facility Maintenance Services,PLT-MAN,Manchester Plant,EMEA,United Kingdom,FIELDGLASS,NET08,Net 8,8
INV-000015,2025-12-30,2026-01-12,13,true,753125.15,USD,SUP-00024,Apex Supply Co Lyon AG,GU-0005,Apex Supply Co Global,31350000,Machined castings,31000000,Manufacturing Components and Supplies,PLT-LYO,Lyon Plant,EMEA,France,SAP_ECC,NET14,Net 14,14
INV-000016,2026-02-23,2026-04-19,55,true,2789835.7,USD,SUP-00064,Yellowstone Solutions Sao Paulo S.A. de C.V.,GU-0015,Yellowstone Solutions Global,40160000,HVAC equipment,40000000,Distribution and Conditioning Systems and Equipment,PLT-SAO,Sao Paulo Plant,LATAM,Brazil,FIELDGLASS,NET50,Net 50,50
INV-000017,2026-04-05,2026-05-26,51,true,180096.63,USD,SUP-00002,Falcon Systems Bengaluru Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,SAP_S4HANA,NET45,Net 45,45
INV-000018,2026-02-11,2026-03-13,30,true,1447613.74,USD,SUP-00094,Copperfield Fabrication Bengaluru Pte. Ltd.,GU-0024,Copperfield Fabrication Holdings,72150000,Building repair services,72000000,Building and Facility Maintenance Services,PLT-PUN,Pune Plant,APAC,India,SAP_ECC,NET21,Net 21,21
INV-000019,2025-11-29,2026-01-30,62,true,141722.12,USD,SUP-00071,Redwood Controls Chennai Ltd.,GU-0017,Redwood Controls Inc.,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-PUN,Pune Plant,APAC,India,SAP_ECC,NET60,Net 60,60
INV-000020,2025-07-30,2025-08-07,8,true,22908.03,USD,SUP-00007,Frontier Polymers Charlotte Inc.,GU-0002,Frontier Polymers Global,44120000,Office supplies,44000000,Office Equipment and Accessories and Supplies,PLT-TOR,Toronto Plant,NAMER,Canada,FIELDGLASS,NET04,Net 4,4
INV-000021,2026-01-13,2026-02-25,43,true,60847.19,USD,SUP-00005,Falcon Systems Singapore Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-DET,Detroit Plant,NAMER,United States,SAP_S4HANA,NET45,Net 45,45
INV-000022,2025-10-04,2025-11-20,47,true,188749.5,USD,SUP-00002,Falcon Systems Bengaluru Pte. Ltd.,GU-0001,Falcon Systems Industries,44100000,Office machines,44000000,Office Equipment and Accessories and Supplies,PLT-PUN,Pune Plant,APAC,India,SAP_S4HANA,NET45,Net 45,45
INV-000023,2026-02-13,2026-02-18,5,true,2572711.48,USD,SUP-00201,Windward Automation Singapore Co. Ltd.,GU-0049,Windward Automation Corporation,80100000,Management consulting,80000000,Management and Business Professionals and Admin Services,PLT-PUN,Pune Plant,APAC,India,FIELDGLASS,NET00,Immediate / Due on receipt,0
INV-000024,2025-09-10,2025-10-01,21,true,133457.88,USD,SUP-00008,Frontier Polymers Detroit Corp.,GU-0002,Frontier Polymers Global,31160000,Hardware and fasteners,31000000,Manufacturing Components and Supplies,PLT-TOR,Toronto Plant,NAMER,Canada,CONCUR,NET21,Net 21,21
